id,systeme,label,split,cluster_id,ndvi_mean,ndvi_std,ndvi_p10,ndvi_p90,ndvi_amplitude,ndwi_mean,ndwi_std,ndre_mean,ndre_std,area_ha,ndvi_ndwi_ratio,texture_proxy
parcel_1777662294718_3mzv8,intensif,1,test,3,0.36130825617567075,0.07795913612576258,0.26281431505974084,0.43843642323825904,0.1756221081785182,-0.0188057968891058,0.051542838863289586,0.2483477880932783,0.05936419491708201,189.62078452448955,-19.212610368618865,0.2157690355411306
parcel_1777662316778_yiudt,intensif,1,val,3,0.3679688478701382,0.06434796116521578,0.30249469414213775,0.4314227415268793,0.12892804738474156,-0.010465911987426371,0.03175239170390953,0.2549030437724563,0.05046200016820624,38.67454215888897,-35.158828002804945,0.17487338884511022
parcel_1777662471199_933e1,intensif,1,train,1,0.44730586528147526,0.10810687762347951,0.3067057104544674,0.54868120587591,0.2419754954214426,0.06512083364504596,0.054766907333196294,0.31158648132803113,0.0827685816852977,81.67683945399635,6.868858574984138,0.24168445709650319
parcel_1777662498867_hce6r,intensif,1,test,1,0.48094036269361456,0.11241810012411076,0.3221060985355195,0.5720634838557933,0.24995738532027378,0.11372984466466311,0.06002317628810768,0.33499896926545353,0.08255614045178725,58.29151952127791,4.228796072163162,0.2337464403216722
parcel_1777662509830_ph4tb,intensif,1,train,1,0.4712987067546017,0.18144364287313036,0.18604272461346252,0.6150246509816537,0.4289819263681912,0.12119343323265458,0.09500580976988855,0.31767516546816554,0.13159012771496426,8.74310119685055,3.888813570960695,0.38498649884422537
parcel_1777662532453_yoau8,intensif,1,train,1,0.46622647453410543,0.10736110619974426,0.3693403120349313,0.5486746077031102,0.17933429566817888,0.07709447461160096,0.05542060812966581,0.32535765940646527,0.08321631896343011,35.54726370316011,6.047468594970658,0.2302767212099264
parcel_1777662559509_oh30t,intensif,1,train,1,0.41625306630883263,0.11349874307377504,0.2551148384816698,0.5016120208678392,0.24649718238616936,0.05117171140178954,0.0543650705124135,0.28052270966350135,0.08965167158914149,27.05542478094186,8.134435483233045,0.27266763787126075
parcel_1777662581023_xa3jy,intensif,1,train,1,0.42295586546403696,0.11673389113714813,0.22856318817445748,0.5292426755388868,0.30067948736442934,0.035985209716782256,0.054250083344294896,0.28732671313846425,0.09022722294620313,33.253440495313846,11.753599638764607,0.27599543571554846
parcel_1777662650200_lx0g1,intensif,1,train,1,0.4088885881421827,0.10215051842209258,0.28733582598746094,0.5175760812510868,0.23024025526362585,0.044352780682394066,0.05344526005980021,0.27985962080472243,0.0781847073263987,402.06179939179646,9.219004753730003,0.2498248150870957
parcel_1777662674673_x7v1z,intensif,1,val,1,0.4363315527701825,0.1825442230533993,0.2518609288427435,0.7286534906491641,0.47679256180642055,0.07308053570145942,0.11161826293876469,0.3010431657081536,0.1387664308954887,177.95771135487206,5.97055685041866,0.4183612615472102
